candidate_id,stratum,reviewed_score,predicted_score,absolute_error,reviewed_disqualifiers,predicted_disqualifiers,disqualifiers_match,predicted_confidence
CAND_0089546,strong,29,52,23,,domain_mismatch_cv_speech_robotics,False,0.7
CAND_0016000,integrity-risk,9,14,5,recent_llm_only,recent_llm_only,True,0.9
CAND_0041669,excellent,96,89,7,,,True,0.9
CAND_0067866,borderline,46,42,4,,,True,0.8
CAND_0001819,disqualified,21,34,13,,domain_mismatch_cv_speech_robotics,False,0.7
CAND_0033817,integrity-risk,4,2,2,domain_mismatch_cv_speech_robotics|no_recent_hands_on_code|pure_research_no_production|services_only_no_product,domain_mismatch_cv_speech_robotics|services_only_no_product,False,0.9
CAND_0046525,excellent,98,90,8,,,True,0.9
CAND_0092255,borderline,58,43,15,,domain_mismatch_cv_speech_robotics,False,0.7
CAND_0003506,disqualified,38,38,0,,domain_mismatch_cv_speech_robotics,False,0.8
CAND_0033972,integrity-risk,16,14,2,recent_llm_only,recent_llm_only,True,0.9
CAND_0050454,excellent,90,88,2,,,True,0.9
CAND_0040178,borderline,56,42,14,,domain_mismatch_cv_speech_robotics,False,0.7
CAND_0003599,disqualified,33,36,3,domain_mismatch_cv_speech_robotics,domain_mismatch_cv_speech_robotics,True,0.8
CAND_0036839,integrity-risk,8,2,6,no_recent_hands_on_code|recent_llm_only,domain_mismatch_cv_speech_robotics|no_recent_hands_on_code|pure_research_no_production|recent_llm_only|services_only_no_product,False,0.9
CAND_0061257,excellent,83,94,11,,,True,0.95
CAND_0040310,borderline,27,46,19,,domain_mismatch_cv_speech_robotics,False,0.7
CAND_0007874,disqualified,37,27,10,,domain_mismatch_cv_speech_robotics,False,0.7
CAND_0042245,integrity-risk,5,2,3,domain_mismatch_cv_speech_robotics|no_recent_hands_on_code|pure_research_no_production,domain_mismatch_cv_speech_robotics|pure_research_no_production,False,0.9
CAND_0062247,excellent,100,89,11,,,True,0.9
CAND_0063585,borderline,29,33,4,,,True,0.8
CAND_0010149,disqualified,43,45,2,,domain_mismatch_cv_speech_robotics,False,0.8
CAND_0046649,integrity-risk,9,2,7,no_recent_hands_on_code|recent_llm_only,domain_mismatch_cv_speech_robotics|no_recent_hands_on_code|pure_research_no_production|recent_llm_only|services_only_no_product,False,0.9
CAND_0066999,excellent,82,78,4,,,True,0.9
CAND_0005269,borderline,34,39,5,domain_mismatch_cv_speech_robotics,domain_mismatch_cv_speech_robotics,True,0.7
CAND_0013613,disqualified,86,75,11,domain_mismatch_cv_speech_robotics,domain_mismatch_cv_speech_robotics,True,0.8
CAND_0046689,integrity-risk,8,3,5,no_recent_hands_on_code|recent_llm_only,domain_mismatch_cv_speech_robotics|no_recent_hands_on_code|pure_research_no_production|recent_llm_only|services_only_no_product,False,0.9
CAND_0068811,excellent,100,98,2,,,True,0.95
CAND_0059795,borderline,42,40,2,,,True,0.8
CAND_0014234,disqualified,46,33,13,domain_mismatch_cv_speech_robotics,domain_mismatch_cv_speech_robotics,True,0.7
CAND_0048740,integrity-risk,8,2,6,no_recent_hands_on_code|recent_llm_only,domain_mismatch_cv_speech_robotics|services_only_no_product,False,0.9
CAND_0069905,excellent,91,88,3,,,True,0.9
CAND_0072688,borderline,38,32,6,,domain_mismatch_cv_speech_robotics,False,0.7
