candidate_id,stratum,reviewed_score,predicted_score,absolute_error,reviewed_disqualifiers,predicted_disqualifiers,disqualifiers_match,predicted_confidence,integrity_status
CAND_0089546,borderline,65,63,2,,,True,0.7,clean
CAND_0060315,borderline,58,51,7,,,True,0.7,clean
CAND_0001819,borderline,51,50,1,,,True,0.7,clean
CAND_0041669,excellent,100,100,0,,,True,0.9,clean
CAND_0067866,borderline,58,54,4,,,True,0.7,clean
CAND_0003506,borderline,46,46,0,,domain_mismatch_cv_speech_robotics,False,0.5,clean
CAND_0003582,suspicious,5,3,2,,domain_mismatch_cv_speech_robotics|no_recent_hands_on_code|pure_research_no_production,False,0.2,suspicious
CAND_0046525,excellent,100,100,0,,,True,0.9,clean
CAND_0092255,borderline,53,49,4,,,True,0.7,clean
CAND_0007874,borderline,48,44,4,,no_recent_hands_on_code,False,0.5,clean
CAND_0016000,suspicious,4,3,1,,domain_mismatch_cv_speech_robotics|no_recent_hands_on_code|pure_research_no_production,False,0.2,suspicious
CAND_0050454,excellent,100,98,2,,,True,0.8,clean
CAND_0040310,borderline,50,49,1,,,True,0.6,clean
CAND_0008517,borderline,52,49,3,,,True,0.6,clean
CAND_0033817,suspicious,4,2,2,,pure_research_no_production|services_only_no_product,False,0.1,suspicious
CAND_0061257,excellent,100,100,0,,,True,0.95,clean
CAND_0006833,borderline,48,46,2,,,True,0.6,clean
CAND_0010149,borderline,46,54,8,,,True,0.7,clean
CAND_0033972,suspicious,5,3,2,,no_recent_hands_on_code|pure_research_no_production,False,0.2,suspicious
CAND_0062247,borderline,52,98,46,,,True,0.9,clean
CAND_0060257,borderline,48,48,0,,,True,0.6,clean
CAND_0036839,suspicious,4,3,1,,domain_mismatch_cv_speech_robotics|pure_research_no_production,False,0.2,suspicious
CAND_0066999,borderline,65,89,24,,,True,0.8,clean
CAND_0063585,borderline,38,46,8,,,True,0.6,clean
CAND_0014234,borderline,46,45,1,,,True,0.6,clean
CAND_0042245,suspicious,0,3,3,,domain_mismatch_cv_speech_robotics|pure_research_no_production,False,0.2,suspicious
CAND_0068811,borderline,63,100,37,,,True,0.9,clean
CAND_0098952,borderline,44,48,4,,,True,0.6,clean
CAND_0019845,borderline,41,50,9,,,True,0.6,clean
CAND_0046649,suspicious,0,3,3,,domain_mismatch_cv_speech_robotics|no_recent_hands_on_code|pure_research_no_production,False,0.2,suspicious
CAND_0069905,borderline,65,85,20,,,True,0.75,clean
CAND_0059795,borderline,42,49,7,,,True,0.7,clean
