candidate_id,rank,score,reasoning
CAND_0006567,1,100.000000,"The candidate has strong experience in building and overhauling ranking and retrieval systems at scale, as demonstrated by their work at Meta and Razorpay. A concern is their less detailed NLP and LLM expertise compared to their retrieval focus."
CAND_0041669,2,99.731544,"The candidate's experience in building and optimizing ranking systems, including a 12% improvement in revenue-per-search, strongly aligns with the Senior AI Engineer role. A material concern is the lack of explicit metrics (e.g., NDCG, MRR) for the RAG-based eval framework."
CAND_0039754,3,99.463087,"The candidate has extensive experience in building and optimizing search and ranking systems, including improving NDCG@10 metrics and deploying hybrid retrieval architectures at scale. A concern is their 16.2 years of experience may exceed the role's typical 5-9 year target, though their technical depth justifies consideration."
CAND_0068811,4,98.389262,"The candidate has strong experience in retrieval and ranking systems, including migrating keyword-based search to embedding-based retrieval and building a content recommendation system with measurable product outcomes. A concern is the lack of explicit mention of experience in Pune or Noida."
CAND_0037980,5,98.265772,"The candidate has extensive experience designing and owning ranking systems at scale for flagship products at Niramai and Verloop.io, directly aligning with the Senior AI Engineer role. A material concern is their location in Kolkata, which is not a preferred site, though they are willing to relocate."
CAND_0028793,6,97.997315,"The candidate's experience in building RAG-based features, evaluation frameworks, and production ML systems aligns strongly with the Senior AI Engineer role. A material concern is the 120-day notice period, which may delay onboarding."
CAND_0057563,7,97.728859,"The candidate's experience in building ranking models, such as evolving a hand-tuned scoring function to a learning-to-rank model at Locobuzz, directly aligns with the Senior AI Engineer role. A material concern is their current location in Indore, which may require relocation."
CAND_0061257,8,97.594631,"The candidate has strong production ownership of retrieval and ranking systems, as demonstrated by their work at LinkedIn and Yellow.ai. A material concern is their limited focus on NLP and LLM-related skills."
CAND_0070398,9,97.460403,"The candidate has strong experience in search, ranking, and retrieval systems, demonstrated by their work on semantic search features using FAISS and sentence-transformers, achieving a 35% improvement in search relevance. A material concern is the lack of explicit mention of hybrid search or vector index optimization beyond FAISS."
CAND_0005649,10,97.326174,"The candidate has strong experience in semantic search infrastructure, using sentence-transformers and FAISS, directly relevant to the Senior AI Engineer role. A concern is that their NLP and LLM expertise is less detailed compared to their retrieval and ranking work."
