stage_3_final_rank,candidate_id,stage_2_individual_rank,stage_2_individual_score,comparative_percentile,stage_3_final_score,rank_change,compared_in_top_group,selected_top_100,integrity_status,integrity_reasons
1,CAND_0006567,1,100.0,100.0,100.0,0,True,True,clean,
2,CAND_0041669,4,100.0,98.657718,99.731544,2,True,True,clean,
3,CAND_0039754,3,100.0,97.315436,99.463087,0,True,True,clean,
4,CAND_0068811,6,100.0,91.946309,98.389262,2,True,True,clean,
5,CAND_0037980,15,98.0,99.328859,98.265772,10,True,True,clean,
6,CAND_0028793,14,98.0,97.986577,97.997315,8,True,True,suspicious,"QLoRA claims 43 months of use, while approximately 39 months are possible since 2023-05-23."
7,CAND_0057563,18,98.0,96.644295,97.728859,11,True,True,suspicious,"QLoRA claims 48 months of use, while approximately 39 months are possible since 2023-05-23."
8,CAND_0061257,19,98.0,95.973154,97.594631,11,True,True,clean,
9,CAND_0070398,23,98.0,95.302013,97.460403,14,True,True,clean,
10,CAND_0005649,8,98.0,94.630872,97.326174,-2,True,True,clean,
11,CAND_0007009,10,98.0,93.959732,97.191946,-1,True,True,suspicious,"QLoRA claims 58 months of use, while approximately 39 months are possible since 2023-05-23."
12,CAND_0039383,16,98.0,93.288591,97.057718,4,True,True,suspicious,"QLoRA claims 71 months of use, while approximately 39 months are possible since 2023-05-23."
13,CAND_0061265,20,98.0,92.61745,96.92349,7,True,True,suspicious,"QLoRA claims 56 months of use, while approximately 39 months are possible since 2023-05-23."
14,CAND_0086022,27,98.0,91.275168,96.655034,13,True,True,suspicious,"QLoRA claims 54 months of use, while approximately 39 months are possible since 2023-05-23."
15,CAND_0010257,2,100.0,81.879195,96.375839,-13,True,True,clean,
16,CAND_0046064,17,98.0,89.261745,96.252349,1,True,True,suspicious,"QLoRA claims 45 months of use, while approximately 39 months are possible since 2023-05-23."
17,CAND_0046525,5,100.0,81.208054,96.241611,-12,True,True,clean,
18,CAND_0077337,24,98.0,87.919463,95.983893,6,True,True,suspicious,"QLoRA claims 47 months of use, while approximately 39 months are possible since 2023-05-23."
19,CAND_0081846,26,98.0,87.248322,95.849664,7,True,True,clean,
20,CAND_0093193,29,98.0,86.577181,95.715436,9,True,True,clean,
21,CAND_0018549,13,98.0,85.90604,95.581208,-8,True,True,clean,
22,CAND_0062247,21,98.0,85.234899,95.44698,-1,True,True,clean,
23,CAND_0080766,25,98.0,83.892617,95.178523,2,True,True,suspicious,"QLoRA claims 55 months of use, while approximately 39 months are possible since 2023-05-23."
24,CAND_0088025,28,98.0,83.221477,95.044295,4,True,True,suspicious,"QLoRA claims 83 months of use, while approximately 39 months are possible since 2023-05-23."
25,CAND_0008425,31,96.0,90.604027,94.920805,6,True,True,clean,
26,CAND_0005260,7,98.0,82.550336,94.910067,-19,True,True,clean,
27,CAND_0043228,33,96.0,89.932886,94.786577,6,True,True,clean,
28,CAND_0060072,35,96.0,88.590604,94.518121,7,True,True,clean,
29,CAND_0069905,22,98.0,80.536913,94.507383,-7,True,True,clean,
30,CAND_0006557,9,98.0,79.194631,94.238926,-21,True,True,clean,
31,CAND_0068351,36,96.0,84.563758,93.712752,5,True,True,clean,
32,CAND_0010770,11,98.0,75.167785,93.433557,-21,True,True,clean,
33,CAND_0011162,12,98.0,73.154362,93.030872,-21,True,True,clean,
34,CAND_0005538,30,96.0,77.852349,92.37047,-4,True,True,suspicious,"QLoRA claims 58 months of use, while approximately 39 months are possible since 2023-05-23."
35,CAND_0094759,38,96.0,66.442953,90.088591,3,True,True,clean,
36,CAND_0047721,34,96.0,64.42953,89.685906,-2,True,True,clean,
