candidate_id,rank,score,reasoning
CAND_0039754,1,99.597315,"The candidate has extensive experience in building and optimizing search and ranking systems, including improving NDCG@10 metrics and deploying hybrid retrieval architectures at scale. A concern is their 16.2 years of experience may exceed the role's typical 5-9 year target, though their technical depth justifies consideration."
CAND_0011687,2,98.265772,"The candidate's extensive experience in building production ML systems, particularly in ranking pipelines, hybrid retrieval, and evaluation, aligns strongly with the Senior AI Engineer role. A material concern is their current location in Indore, which is not a preferred location."
CAND_0037980,3,98.131544,"The candidate has extensive experience designing and owning ranking systems at scale, with a strong focus on production deployment and operational discipline, directly aligning with the Senior AI Engineer role. A material concern is the lack of explicit experience with vector search or hybrid retrieval systems."
CAND_0077337,4,97.986577,"The candidate has extensive experience in building hybrid retrieval systems, including a hybrid BM25 and dense vector system serving 50M+ queries, and has shipped production ML systems with measurable outcomes. A material concern is their current location in Kochi, Kerala, which is not a preferred location."
CAND_0088025,5,97.863087,"The candidate has extensive experience in building hybrid retrieval systems, learning-to-rank, and embedding-based search, directly aligning with the Senior AI Engineer role. A material concern is the lack of explicit LLM/NLP work beyond embeddings."
CAND_0081846,6,97.594631,"The candidate has extensive experience in building production ML systems with a focus on retrieval and ranking, including rebuilding a candidate-JD matching pipeline and improving NDCG@10 from 0.72 to 0.91. A material concern is the lack of explicit mention of experience in Pune or Noida."
CAND_0086022,7,97.460403,"The candidate's experience in building production ML systems with a focus on search, retrieval, and ranking directly aligns with the Senior AI Engineer role. A material concern is the need to validate the depth of hands-on production work despite the 5.3 years of experience."
CAND_0028793,8,96.128859,"The candidate's experience in building RAG-based systems, evaluation frameworks, and production ML features aligns strongly with the Senior AI Engineer role. A concern is the 120-day notice period, which may delay onboarding."
CAND_0093193,9,95.189262,"The candidate has extensive experience in building and shipping ranking and retrieval systems at scale, demonstrated by their work at Netflix and Niramai. A material concern is the lack of recent hands-on coding in production systems, which may affect their readiness for a senior role requiring deep technical execution."
CAND_0094759,10,94.791946,"The candidate has extensive experience in building production ML systems with a focus on search, retrieval, and ranking, including improving NDCG@10 from 0.72 to 0.91 and handling high QPS. However, the candidate is not currently open to work, which may affect hiring timelines."
CAND_0068811,11,94.775839,"The candidate has strong experience in building production ML systems, particularly in retrieval ranking and recommendation systems, with clear evidence of shipping impactful features. A material concern is the lack of explicit mention of working in preferred locations like Pune or Noida."
CAND_0005260,12,94.652349,"The candidate's experience in building RAG-based ranking pipelines, hybrid retrieval architectures, and deploying low-latency ML systems aligns strongly with the Senior AI Engineer role. A concern is their current non-open-to-work status, which may delay hiring."
